series,ADF_stat,ADF_p,KPSS_stat,KPSS_p
Occ,-12.588059532583067,1.8471119735937358e-23,0.13409561471772752,0.1
Rate,-20.794299819080265,0.0,0.12371469620045401,0.1
Demand,-12.061789368151171,2.459754647007491e-22,0.1513929317390608,0.1
Airfare,-14.365516153070157,9.687441876825815e-27,0.13487748248787432,0.1
