horizon,Occ,Rate,Demand,Airfare
1,1.0,0.0,0.0,0.0
2,0.19217045461444207,0.776997039342997,0.029388148525794015,0.0014443575167670867
3,0.07572237438239135,0.8968973836678507,0.026668842172331994,0.0007113997774261625
4,0.04316617997577685,0.934908230201661,0.0214368242398364,0.0004887655827258957
5,0.030309490677231377,0.9513743863484622,0.01739010355342433,0.0009260194208821459
6,0.023993955423153034,0.959473593407314,0.014604208460068697,0.001928242709464258
7,0.021020088260079645,0.9624249596348465,0.012952128040389166,0.003602824064684603
8,0.019880210507090837,0.9630156792025868,0.011966792511245395,0.0051373177790769746
9,0.019492697779078767,0.9628308382166055,0.011393940062559126,0.006282523941756568
10,0.019265188353778464,0.9626068752992771,0.011066420501553537,0.007061515845390753
11,0.019037049486099137,0.9625209786440019,0.01086465343418023,0.007577318435718595
12,0.018834980846066347,0.9625301262082651,0.010710915316476888,0.007923977629191453
13,0.018699600449505197,0.9625293558627532,0.010601543290465186,0.00816950039727626
14,0.01862690209555167,0.9624917138191752,0.010537190606622582,0.008344193478650445
15,0.018599063350764587,0.9624346708195313,0.010503081368788433,0.008463184460915665
16,0.018594113817561292,0.9623828849293852,0.01048390318353931,0.008539098069514082
17,0.018594375578569026,0.9623487567530711,0.010472056579672238,0.008584811088687598
18,0.018593140397289154,0.9623304046071861,0.010464921005577507,0.008611533989947318
19,0.018590932294979757,0.9623208567200116,0.010460858659876436,0.008627352325132183
20,0.018589168268630708,0.9623151378762639,0.010458659509455194,0.00863703434565004
21,0.018588304894865897,0.9623110894417313,0.01045753382656929,0.00864307183683318
22,0.018588180880914962,0.9623081028498649,0.01045693192100827,0.008646784348211548
23,0.01858840176541035,0.9623060862450583,0.010456536909743871,0.008648975079787033
24,0.018588621191094803,0.9623049093860958,0.01045625789719787,0.00865021152561112
