,RMSE,MAE,MAPE_%
Occ (VAR6),16.38427244940483,12.61084148453964,1.2203501303272661
Occ (naive),27.875805597327663,26.525100000000077,2.5838322614165925
Rate (VAR6),132.73071689462296,103.63078692513336,3.3490447535734544
Rate (naive),149.55124625191178,125.62949999999982,4.032566950996854
Demand (VAR6),23.347379188838463,18.069170852391835,1.9739446028507388
Demand (naive),11.895502952796926,10.348100000000011,1.139484929733546
Airfare (VAR6),19.180184936108358,14.273809972945902,1.2951589307030216
Airfare (naive),31.50033992832465,30.122200000000067,2.752000966952925
